# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.7.0-beta2

\_block, block, 8405776F726C6480FF0000000181046E616D65208007576F726C645F31017803FFFFFD4701790300000039017A03FFFFFF9E
berserkerlvlbrunothepanda, long, 0000000000000001
berserkerlvlcalthepanda, long, 0000000000000001
bowmanlvlbrunothepanda, long, 0000000000000001
bowmanlvlcalthepanda, long, 0000000000000001
chesth, string, 80054368657374
chosenclass::<none>, string, 8009436C6173736C657373
chosenclass::bestenderman25, string, 800FC2A762C2A76C53776F7264736D616E
chosenclass::brunothepanda, string, 8010C2A763C2A76C4A75676765726E617574
chosenclass::bublymonkey, long, 0000000000000001
chosenclass::calthepanda, string, 8010C2A763C2A76C4A75676765726E617574
chosenclass::thatoneguy786, string, 800FC2A762C2A76C53776F7264736D616E
deaths::.fervidcat928034, long, 0000000000000001
deaths::brunothepanda, long, 000000000000000D
deaths::bublymonkey, long, 0000000000000002
deaths::calthepanda, long, 0000000000000018
deaths::dumplingsareyum, long, 0000000000000005
deaths::eh7, long, 0000000000000004
forwards, long, 0000000000000000
katana::brunothepanda, long, 0000000000000000
katana::calthepanda, long, 0000000000000000
kdr::.fervidcat928034, double, 0000000000000000
kdr::bestenderman25, double, 7FF0000000000000
kdr::brunothepanda, double, 3FF0000000000000
kdr::bublymonkey, double, 3FF0000000000000
kdr::calthepanda, double, 3FF0AAAAAAAAAAAB
kdr::dumplingsareyum, double, 0000000000000000
kdr::eh7, double, 3FE8000000000000
kdr::pineapplegoys, double, 7FF0000000000000
kills::bestenderman25, long, 0000000000000005
kills::brunothepanda, long, 000000000000000D
kills::bublymonkey, long, 0000000000000002
kills::calthepanda, long, 0000000000000019
kills::eh7, long, 0000000000000003
kills::pineapplegoys, long, 0000000000000001
kits::1::contents::0, itemstack, 810576616C75652080BA76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2053544F4E455F484F450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20277B226578747261223A5B7B2274657874223A2266697265737469636B227D5D2C2274657874223A22227D270A
kits::1::contents::1, itemstack, 810576616C756520805076616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20444952540A2020616D6F756E743A2032380A
kits::1::contents::2, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2047524153535F424C4F434B0A
kits::1::contents::3, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20424152524945520A
kits::1::contents::4, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204C494C595F5041440A
kits::1::contents::5, itemstack, 810576616C756520805676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20424C41434B5F574F4F4C0A2020616D6F756E743A2036340A
kits::1::contents::6, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20504F445A4F4C0A
kits::1::contents::8, itemstack, 810576616C756520804476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2053544F4E450A
kits::1::name, string, 80025061
knightlvlcalthepanda, long, 0000000000000001
lol.bestenderman25, long, 0000000000000032
lol.calthepanda, long, 0000000000000032
lol.dumplingsareyum, long, 0000000000000032
lpitem, long, 0000000000003D7E
mercenarylvlbrunothepanda, long, 0000000000000001
mercenarylvlcalthepanda, long, 0000000000000001
money::bestenderman25, long, 000000000000001A
money::brunothepanda, long, 0000000000001163
money::bublymonkey, long, 000000000013D652
money::calthepanda, long, 0000000000987EEB
money::eh7, long, 000000000000004B
money::pineapplegoys, long, 0000000000000019
ninjalvlcalthepanda, long, 0000000000000001
paladinlvlbrunothepanda, long, 0000000000000001
paladinlvlcalthepanda, long, 0000000000000001
rangerbrunothepanda, long, 0000000000000001
rangercalthepanda, long, 0000000000000001
samarailvlcalthepanda, long, 0000000000000001
samurailvlbestenderman25, long, 0000000000000001
samurailvlbrunothepanda, long, 0000000000000001
samurailvlcalthepanda, long, 0000000000000001
setcommand, string, 8005737061776E
turtleactive, long, 0000000000000001
turtlelvlbrunothepanda, long, 0000000000000001
turtlelvlcalthepanda, long, 0000000000000001
withercd::calthepanda, long, 0000000000000000

