# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.7.0-beta2

\_block, block, 8405776F726C6480FF0000000181046E616D65208007576F726C645F31017803FFFFFD4701790300000039017A03FFFFFF9E
allkits::<none>::1, itemstack, 810576616C756520805176616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2043484553540A2020616D6F756E743A2036340A
allkits::<none>::2, itemstack, 810576616C756520805176616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2043484553540A2020616D6F756E743A2036340A
allkits::<none>::3, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2047524153535F424C4F434B0A
backwards, long, 0000000000000000
berserkerlvl::<player>, long, 0000000000000000
berserkerlvlbrunothepanda, long, 0000000000000001
berserkerlvlcalthepanda, long, 0000000000000001
bowmanlvl::<player>, long, 0000000000000000
bowmanlvlbrunothepanda, long, 0000000000000001
bowmanlvlcalthepanda, long, 0000000000000001
chesth, string, 80054368657374
chosenclass::<none>, string, 8009436C6173736C657373
chosenclass::<player>, string, 8009436C6173736C657373
chosenclass::bestenderman25, string, 800FC2A762C2A76C53776F7264736D616E
chosenclass::brunothepanda, string, 8010C2A763C2A76C4A75676765726E617574
chosenclass::bublymonkey, long, 0000000000000001
chosenclass::calthepanda, string, 8010C2A763C2A76C4A75676765726E617574
chosenclass::siraxewell, string, 8010C2A763C2A76C4A75676765726E617574
chosenclass::thatoneguy786, string, 800FC2A762C2A76C53776F7264736D616E
deaths::.fervidcat928034, long, 0000000000000001
deaths::<player>, long, 0000000000000000
deaths::brunothepanda, long, 000000000000000D
deaths::bublymonkey, long, 0000000000000002
deaths::calthepanda, long, 000000000000001B
deaths::dumplingsareyum, long, 0000000000000005
deaths::eh7, long, 0000000000000004
forward, long, 0000000000000000
forwards, long, 0000000000000000
juggernautlvl::<player>, long, 0000000000000000
katana::brunothepanda, long, 0000000000000000
katana::calthepanda, long, 0000000000000000
katanakd::<player>, long, 0000000000000000
kdr::.fervidcat928034, double, 0000000000000000
kdr::<player>, long, 0000000000000000
kdr::bestenderman25, double, 7FF0000000000000
kdr::brunothepanda, double, 3FF0000000000000
kdr::bublymonkey, double, 3FF0000000000000
kdr::calthepanda, double, 3FEDA12F684BDA13
kdr::dumplingsareyum, double, 0000000000000000
kdr::eh7, double, 3FE8000000000000
kdr::pineapplegoys, double, 7FF0000000000000
kdr::siraxewell, double, 7FF0000000000000
kills::<player>, long, 0000000000000000
kills::bestenderman25, long, 0000000000000005
kills::brunothepanda, long, 000000000000000D
kills::bublymonkey, long, 0000000000000002
kills::calthepanda, long, 0000000000000019
kills::eh7, long, 0000000000000003
kills::pineapplegoys, long, 0000000000000001
kills::siraxewell, long, 0000000000000003
